,$,char,integer,Str,startCode,endCode,inputKey,outputKey,if,else,do,until,int,tk_abre_parenteses,tk_fecha_parenteses,tk_abre_bloco,tk_fecha_bloco,tk_abre_aspas,tk_fecha_aspas,tk_final,tk_atrib,tk_igual,tk_soma,tk_subtracao,tk_multiplicacao,tk_divisao,tk_maior_que,tk_menor_que
<PROGRAM>,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<VARIABLE_LIST>,-,2,-,-,-,-,2,2,2,-,2,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
<VARIABLE>,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<ATTRIB>,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<TYPE_VARIABLE>,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<SENTENCE>,-,6,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<COMMAND_LIST>,-,9,-,-,-,-,9,9,9,-,9,10,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-
<COMMAND>,-,14,-,-,-,-,11,12,13,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<INPUT_CMD>,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<OUTPUT_CMD>,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<CONDITIONAL_CMD>,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<MATH_CMD>,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<LOOP_CMD>,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<IF>,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<ELSE>,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-
<DO_LOOP>,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
<ARITHMETIC>,-,-,-,-,-,-,-,-,-,-,-,-,-,41,42,-,-,-,-,42,-,-,37,38,39,40,-,-
<ID_ARITHMETIC>,-,32,31,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,36,-,-,-,33,-,-,34,-
<LOGIC>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,30,-,29,-,-,-,-,27,28
<ID_LOGIC>,-,25,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
